City ID,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Clouds (%),Wind Speed (mph),Country,DT,Date
2123814,leningradskiy,69.3833,178.4167,-28.77,97.0,99.0,6.35,RU,1644447591,2022-02-09 22:59:51
155334,magole,-6.3667,37.3667,68.63,95.0,100.0,2.39,TZ,1644447592,2022-02-09 22:59:52
1494482,polunochnoye,60.8697,60.4153,12.7,94.0,100.0,10.4,RU,1644447592,2022-02-09 22:59:52
4176380,venice,27.0998,-82.4543,63.16,64.0,0.0,13.8,US,1644447592,2022-02-09 22:59:52
3671437,puerto leguizamo,-0.1934,-74.7819,74.86,94.0,100.0,1.54,CO,1644447593,2022-02-09 22:59:53
5491487,silver city,32.7701,-108.2803,60.67,14.0,0.0,10.36,US,1644447164,2022-02-09 22:52:44
3471451,arraial do cabo,-22.9661,-42.0278,73.26,83.0,75.0,4.61,BR,1644447593,2022-02-09 22:59:53
1492110,shitkino,56.3703,98.3543,-27.17,100.0,54.0,1.1,RU,1644447594,2022-02-09 22:59:54
1259184,puri,19.8,85.85,64.92,63.0,7.0,9.89,IN,1644447594,2022-02-09 22:59:54
2339937,gusau,12.1628,6.6614,72.19,10.0,12.0,9.53,NG,1644447594,2022-02-09 22:59:54
2126123,chokurdakh,70.6333,147.9167,-27.47,99.0,94.0,10.83,RU,1644447441,2022-02-09 22:57:21
1256369,sidhi,24.4167,81.8833,61.11,67.0,58.0,5.82,IN,1644447595,2022-02-09 22:59:55
3689615,argelia,2.2556,-77.2488,67.3,98.0,97.0,0.94,CO,1644447595,2022-02-09 22:59:55
3883457,lebu,-37.6167,-73.65,60.91,75.0,0.0,21.61,CL,1644447595,2022-02-09 22:59:55
2514651,los llanos de aridane,28.6585,-17.9182,67.75,46.0,0.0,1.14,ES,1644447596,2022-02-09 22:59:56
2729907,longyearbyen,78.2186,15.6401,12.04,85.0,40.0,6.91,SJ,1644447596,2022-02-09 22:59:56
103630,najran,17.4924,44.1277,52.45,32.0,0.0,1.14,SA,1644447597,2022-02-09 22:59:57
5991056,kenora,49.8167,-94.4337,15.78,73.0,75.0,15.01,CA,1644447597,2022-02-09 22:59:57
5983720,iqaluit,63.7506,-68.5145,-23.31,74.0,20.0,15.01,CA,1644447597,2022-02-09 22:59:57
64814,bandarbeyla,9.4942,50.8122,73.69,68.0,73.0,17.81,SO,1644447598,2022-02-09 22:59:58
1162105,zhob,31.3411,69.4481,41.2,40.0,0.0,3.83,PK,1644447598,2022-02-09 22:59:58
1490796,strezhevoy,60.7333,77.5889,-11.22,100.0,10.0,4.83,RU,1644447598,2022-02-09 22:59:58
1885823,jiangyou,31.7667,104.7167,37.92,87.0,93.0,0.54,CN,1644447599,2022-02-09 22:59:59
3421765,nanortalik,60.1432,-45.2371,19.63,69.0,92.0,6.11,GL,1644447585,2022-02-09 22:59:45
2013727,vanavara,60.34,102.2797,-27.6,100.0,68.0,2.73,RU,1644447599,2022-02-09 22:59:59
3412093,vestmannaeyjar,63.4427,-20.2734,26.08,70.0,60.0,25.08,IS,1644447599,2022-02-09 22:59:59
2208248,kaitangata,-46.2817,169.8464,62.17,94.0,100.0,3.65,NZ,1644447600,2022-02-09 23:00:00
986717,kruisfontein,-34.0033,24.7314,61.34,85.0,0.0,5.75,ZA,1644447600,2022-02-09 23:00:00
1054329,vangaindrano,-23.35,47.6,75.27,95.0,49.0,5.26,MG,1644447601,2022-02-09 23:00:01
964420,port elizabeth,-33.918,25.5701,65.01,85.0,2.0,7.52,ZA,1644447602,2022-02-09 23:00:02
5546220,saint george,37.1041,-113.5841,70.27,19.0,1.0,13.0,US,1644447603,2022-02-09 23:00:03
3932145,pisco,-13.7,-76.2167,72.01,82.0,7.0,6.58,PE,1644447606,2022-02-09 23:00:06
648900,lappeenranta,61.0587,28.1887,32.05,99.0,100.0,6.91,FI,1644447608,2022-02-09 23:00:08
4267661,arkansas city,37.062,-97.0384,62.62,25.0,6.0,10.16,US,1644447609,2022-02-09 23:00:09
3924679,vilhena,-12.7406,-60.1458,70.03,92.0,59.0,1.43,BR,1644447611,2022-02-09 23:00:11
475614,verkhnedneprovskiy,54.9813,33.3457,30.6,93.0,100.0,10.56,RU,1644447611,2022-02-09 23:00:11
3175096,lasa,46.6166,10.7002,15.85,34.0,8.0,2.75,IT,1644447614,2022-02-09 23:00:14
